Unnamed: 0,Title,Poem,Poet,Tags,Birth Year,Death Year,Order
16,scars,"my father’s body is a map
a record of his journey
 
he carries a bullet
lodged in his left thigh
there is a hollow where it entered
a protruding bump where it sleeps
the doctors say it will never awaken
 
it is the one souvenir he insists on keeping
mother has her own opinionsbố cùa con điên—your father is crazy
 
as a child
i wanted a scar just like my father’s
bold and appalling     a mushroom explosion
that said i too was at war
instead i settled for a grain of rice
a scar so small look closely there
here between the eyes
a bit to the right
there on the bridge of my nose
 
father says i was too young to remember
it happened while i was sleeping
leaking roof the pounding rain
drop after drop after drop",Truong Tran,"The Body,Family & Ancestors",1932,2012.0,23
17,what remains two,"it has long been forgotten this practice of the mother
weaning a child she crushes the seeds of a green
chili rubs it to her nipple what the child feels
she too will   share in this act   of love
my own mother says it was not meant
to be cruel when cruelty she tells me
is a child’s lips   torn from breast as proof
back home the women wear teeth marks",Truong Tran,"Infancy,Parenthood,The Body",1932,2012.0,23
75,Bees Were Better,"In college, people were always breaking up.
We broke up in parking lots,
beside fountains.
Two people broke up
across a table from me
at the library.
I could not sit at that table again
though I did not know them.
I studied bees, who were able
to convey messages through dancing
and could find their ways
home to their hives
even if someone put up a blockade of sheets
and boards and wire.
Bees had radar in their wings and brains
that humans could barely understand.
I wrote a paper proclaiming
their brilliance and superiority
and revised it at a small café
featuring wooden hive-shaped honey-dippers
in silver honeypots
at every table.",Naomi Shihab Nye,,1952,2025.0,38
2,The Hot Dog Factory (1937),"Of course now children take it for granted but once
we watched boxes on a conveyor belt, sliding by,
magically filled and closed, packed and wrapped.
We couldn't get enough of it, running alongside the machine.
In kindergarten Miss Haynes walked our class down
Stuyvesant Avenue, then up Prospect Street
to the hot dog factory. Only the girls got to go
as the boys were too wild.
We stood in line, wiggling with excitement as the man
talked about how they made hot dogs, then he handed us
one, and Jan dropped hers, so I broke mine in half.
This was the happiest day of our lives,
children whose mothers didn't drive, and had nowhere
to go but school and home, to be taken to that street
to watch the glittering steel and shining rubber belts moving,
moving meats, readymade.  I wish I could talk with Jan,
recalling the miracle and thrill of the hot dog factory,
when she was alive, before it all stopped—
bright lights, glistening motors, spinning wheels.",Grace Cavalieri,,1935,2025.0,25
28,Monopoly,"We used to play, long before we bought real houses.
A roll of the dice could send a girl to jail.
The money was pink, blue, gold, as well as green,
and we could own a whole railroad
or speculate in hotels where others dreaded staying:
the cost was extortionary.
 
At last one person would own everything,
every teaspoon in the dining car, every spike
driven into the planks by immigrants,
every crooked mayor.
But then, with only the clothes on our backs,
we ran outside, laughing.",Connie Wanek,,1952,2025.0,37
47,Flores Woman,"A species of tiny human has been discovered, which lived on the remote Indonesian island of Flores just 18,000 years ago. . . . Researchers have so far unearthed remains from eight individuals who were just one metre tall, with grapefruit-sized skulls. These astonishing little people . . . made tools, hunted tiny elephants and lived at the same time as modern humans who were colonizing the area.
—Nature, October 2004



Light: lifted, I stretch my brief body.
Color: blaze of day behind blank eyes.
Sound: birds stab greedy beaks
Into trunk and seed, spill husk
Onto the heap where my dreaming
And my loving live.
Every day I wake to this.
Tracks follow the heavy beasts
Back to where they huddle, herd.
Hunt: a dance against hunger.
Music: feast and fear.
This island becomes us.
Trees cap our sky. It rustles with delight
In a voice green as lust. Reptiles
Drag night from their tails,
Live by the dark. A rage of waves
Protects the horizon, which we would devour.
One day I want to dive in and drift,
Legs and arms wracked with danger.
Like a dark star. I want to last.",Tracy K. Smith,"Living,The Body,Relationships,Family & Ancestors,Social Commentaries,History & Politics,Mythology & Folklore,Fairy-tales & Legends",1972,2025.0,45
60,"from Aurora Leigh, First Book","In those days, though, I never analysed
Myself even. All analysis comes late.
You catch a sight of Nature, earliest,
In full front sun-face, and your eyelids wink
And drop before the wonder of ‘t; you miss
The form, through seeing the light. I lived, those days,
And wrote because I lived–unlicensed else:
My heart beat in my brain. Life’s violent flood
Abolished bounds,–and, which my neighbour’s field,
Which mine, what mattered? It is so in youth.
We play at leap-frog over the god Term;
The love within us and the love without
Are mixed, confounded; if we are loved or love,
We scarce distinguish. So, with other power.
Being acted on and acting seem the same:
In that first onrush of life’s chariot-wheels,
We know not if the forests move or we.
And so, like most young poets, in a flush
Of individual life, I poured myself
Along the veins of others, and achieved
Mere lifeless imitations of life verse,
And made the living answer for the dead,
Profaning nature. ‘Touch not, do not taste,
Nor handle,’–we’re too legal, who write young:
We beat the phorminx till we hurt our thumbs,
As if still ignorant of counterpoint;
We call the Muse ... ‘O Muse, benignant Muse!’–
As if we had seen her purple-braided head.
With the eyes in it start between the boughs
As often as a stag’s. What make-believe,
With so much earnest! what effete results,
From virile efforts! what cold wire-drawn odes
From such white heats!–bucolics, where the cows
Would scare the writer if they splashed the mud
In lashing off the flies,–didactics, driven
Against the heels of what the master said;
And counterfeiting epics, shrill with trumps
A babe might blow between two straining cheeks
Of bubbled rose, to make his mother laugh;
And elegiac griefs, and songs of love,
Like cast-off nosegays picked up on the road,
The worse for being warm: all these things, writ
On happy mornings, with a morning heart,
That leaps for love, is active for resolve,
Weak for art only. Oft, the ancient forms
Will thrill, indeed, in carrying the young blood.
The wine-skins, now and then, a little warped,
Will crack even, as the new wine gurgles in.
Spare the old bottles!–spill not the new wine.
By Keats’s soul, the man who never stepped
In gradual progress like another man,
But, turning grandly on his central self,
Ensphered himself in twenty perfect years
And died, not young,–(the life of a long life,
Distilled to a mere drop, falling like a tear
Upon the world’s cold cheek to make it burn
For ever;) by that strong excepted soul,
I count it strange, and hard to understand,
That nearly all young poets should write old;
That Pope was sexagenarian at sixteen,
And beardless Byron academical,
And so with others. It may be, perhaps,
Such have not settled long and deep enough
In trance, to attain to clairvoyance,–and still
The memory mixes with the vision, spoils,
And works it turbid.
                  Or perhaps, again,
In order to discover the Muse-Sphinx,
The melancholy desert must sweep round,
Behind you, as before.–
For me, I wrote
False poems, like the rest, and thought them true.
Because myself was true in writing them.
I, peradventure, have writ true ones since
With less complacence.
                    But I could not hide
My quickening inner life from those at watch.
They saw a light at a window now and then,
They had not set there. Who had set it there?
My father’s sister started when she caught
My soul agaze in my eyes. She could not say
I had no business with a sort of soul,
But plainly she objected,–and demurred,
That souls were dangerous things to carry straight
Through all the spilt saltpetre of the world.
She said sometimes, ‘Aurora, have you done
Your task this morning?–have you read that book?
And are you ready for the crochet here?’–
As if she said, ‘I know there’s something wrong,
I know I have not ground you down enough
To flatten and bake you to a wholesome crust
For household uses and proprieties,
Before the rain has got into my barn
And set the grains a-sprouting. What, you’re green
With out-door impudence? you almost grow?’
To which I answered, ‘Would she hear my task,
And verify my abstract of the book?
And should I sit down to the crochet work?
Was such her pleasure?’ ... Then I sate and teased
The patient needle til it split the thread,
Which oozed off from it in meandering lace
From hour to hour. I was not, therefore, sad;
My soul was singing at a work apart
Behind the wall of sense, as safe from harm
As sings the lark when sucked up out of sight,
In vortices of glory and blue air.
And so, through forced work and spontaneous work,
The inner life informed the outer life,
Reduced the irregular blood to settled rhythms,
Made cool the forehead with fresh-sprinkling dreams,
And, rounding to the spheric soul the thin
Pined body, struck a colour up the cheeks,
Though somewhat faint. I clenched my brows across
My blue eyes greatening in the looking-glass,
And said, ‘We’ll live, Aurora! we’ll be strong.
The dogs are on us–but we will not die.’",Elizabeth Barrett Browning,"Relationships,Men & Women,Social Commentaries,Gender & Sexuality",1806,1861.0,1
61,"from Aurora Leigh, Second Book","'There it is!–
You play beside a death-bed like a child,
Yet measure to yourself a prophet's place
To teach the living. None of all these things,
Can women understand. You generalise,
Oh, nothing!–not even grief! Your quick-breathed hearts,
So sympathetic to the personal pang,
Close on each separate knife-stroke, yielding up
A whole life at each wound; incapable
Of deepening, widening a large lap of life
To hold the world-full woe. The human race
To you means, such a child, or such a man,
You saw one morning waiting in the cold,
Beside that gate, perhaps. You gather up
A few such cases, and, when strong, sometimes
Will write of factories and of slaves, as if
Your father were a negro, and your son
A spinner in the mills. All's yours and you,–
All, coloured with your blood, or otherwise
Just nothing to you. Why, I call you hard
To general suffering. Here's the world half blind
With intellectual light, half brutalised
With civilization, having caught the plague
In silks from Tarsus, shrieking east and west
Along a thousand railroads, mad with pain
And sin too! ... does one woman of you all,
(You who weep easily) grow pale to see
This tiger shake his cage?–does one of you
Stand still from dancing, stop from stringing pearls
And pine and die, because of the great sum
Of universal anguish?–Show me a tear
Wet as Cordelia's, in eyes bright as yours,
Because the world is mad? You cannot count,
That you should weep for this account, not you!
You weep for what you know. A red-haired child
Sick in a fever, if you touch him once,
Though but so little as with a finger-tip,
Will set you weeping! but a million sick . .
You could as soon weep for the rule of three,
Or compound fractions. Therefore, this same world
Uncomprehended by you must remain
Uninfluenced by you. Women as you are,
Mere women, personal and passionate,
You give us doating mothers, and chaste wives.
Sublime Madonnas, and enduring saints!
We get no Christ from you,–and verily
We shall not get a poet, in my mind.'
'With which conclusion you conclude' . .
                                    'But this–
That you, Aurora, with the large live brow
And steady eyelids, cannot condescend
To play at art, as children play at swords,
To show a pretty spirit, chiefly admired
Because true action is impossible.
You never can be satisfied with praise
Which men give women when they judge a book
Not as mere work, but as mere woman's work,
Expressing the comparative respect
Which means the absolute scorn. 'Oh, excellent!
'What grace! what facile turns! what fluent sweeps!
'What delicate discernment ... almost thought!
'The book does honour to the sex, we hold.
'Among our female authors we make room
'For this fair writer, and congratulate
'The country that produces in these times
'Such women, competent to ... spell.''
                                'Stop there!'
I answered–burning through his thread of talk
With a quick flame of emotion,–'You have read
My soul, if not my book, and argue well
I would not condescend ... we will not say
To such a kind of praise, (a worthless end
Is praise of all kinds) but to such a use
Of holy art and golden life. I am young,
And peradventure weak–you tell me so–
Through being a woman. And, for all the rest,
Take thanks for justice. I would rather dance
At fairs on tight-rope, till the babies dropped
Their gingerbread for joy,–than shift the types
For tolerable verse, intolerable
To men who act and suffer. Better far,
Pursue a frivolous trade by serious means,
Than a sublime art frivolously.'
*
Then I spoke.
'I have not stood long on the strand of life,
And these salt waters have had scarcely time
To creep so high up as to wet my feet.
I cannot judge these tides–I shall, perhaps.
A woman's always younger than a man
At equal years, because she is disallowed
Maturing by the outdoor sun and air,
And kept in long-clothes past the age to walk.
Ah well, I know you men judge otherwise!
You think a woman ripens as a peach,–
In the cheeks, chiefly. Pass it to me now;
I'm young in age, and younger still, I think,
As a woman. But a child may say amen
To a bishop's prayer and see the way it goes;
And I, incapable to loose the knot
Of social questions, can approve, applaud
August compassion, christian thoughts that shoot
Beyond the vulgar white of personal aims.
Accept my reverence.'
                  There he glowed on me
With all his face and eyes. 'No other help?'
Said he–'no more than so?'
                    'What help?' I asked.
'You'd scorn my help,–as Nature's self, you say,
Has scorned to put her music in my mouth,
Because a woman's. Do you now turn round
And ask for what a woman cannot give?'
'For what she only can, I turn and ask,'
He answered, catching up my hands in his,
And dropping on me from his high-eaved brow
The full weight of his soul,–'I ask for love,
And that, she can; for life in fellowship
Through bitter duties–that, I know she can;
For wifehood ... will she?'
                      'Now,' I said, 'may God
Be witness 'twixt us two!' and with the word,
Meseemed I floated into a sudden light
Above his stature,–'am I proved too weak
To stand alone, yet strong enough to bear
Such leaners on my shoulder? poor to think,
Yet rich enough to sympathise with thought?
Incompetent to sing, as blackbirds can,
Yet competent to love, like HIM?'
                            I paused:
Perhaps I darkened, as the lighthouse will
That turns upon the sea. 'It's always so!
Anything does for a wife.'
                      'Aurora, dear,
And dearly honoured' ... he pressed in at once
With eager utterance,–'you translate me ill.
I do not contradict my thought of you
Which is most reverent, with another thought
Found less so. If your sex is weak for art,
(And I who said so, did but honour you
By using truth in courtship) it is strong
For life and duty. Place your fecund heart
In mine, and let us blossom for the world
That wants love's colour in the grey of time.
With all my talk I can but set you where
You look down coldly on the arena-heaps
Of headless bodies, shapeless, indistinct!
The Judgment-Angel scarce would find his way
Through such a heap of generalised distress,
To the individual man with lips and eyes–
Much less Aurora. Ah, my sweet, come down,
And, hand in hand, we'll go where yours shall touch
These victims, one by one! till one by one,
The formless, nameless trunk of every man
Shall seem to wear a head, with hair you know,
And every woman catch your mother's face
To melt you into passion.'
                      'I am a girl,'
I answered slowly; 'you do well to name
My mother's face. Though far too early, alas,
God's hand did interpose 'twixt it and me,
I know so much of love, as used to shine
In that face and another. Just so much;
No more indeed at all. I have not seen
So much love since, I pray you pardon me,
As answers even to make a marriage with,
In this cold land of England. What you love,
Is not a woman, Romney, but a cause:
You want a helpmate, not a mistress, sir,–
A wife to help your ends ... in her no end!
Your cause is noble, your ends excellent,
But I, being most unworthy of these and that,
Do otherwise conceive of love. Farewell.'
'Farewell, Aurora, you reject me thus?'
He said.
        'Why, sir, you are married long ago.
You have a wife already whom you love,
Your social theory. Bless you both, I say.
For my part, I am scarcely meek enough
To be the handmaid of a lawful spouse.
Do I look a Hagar, think you?'
                          'So, you jest!'
'Nay so, I speak in earnest,' I replied.
'You treat of marriage too much like, at least,
A chief apostle; you would bear with you
A wife ... a sister ... shall we speak it out?
A sister of charity.'
                 'Then, must it be
Indeed farewell? And was I so far wrong
In hope and in illusion, when I took
The woman to be nobler than the man,
Yourself the noblest woman,–in the use
And comprehension of what love is,–love,
That generates the likeness of itself
Through all heroic duties? so far wrong
In saying bluntly, venturing truth on love,
'Come, human creature, love and work with me,'–
Instead of, 'Lady, thou art wondrous fair,
'And, where the Graces walk before, the Muse
'Will follow at the lighting of the eyes,
'And where the Muse walks, lovers need to creep
'Turn round and love me, or I die of love.''
With quiet indignation I broke in.
'You misconceive the question like a man,
Who sees a woman as the complement
Of his sex merely. You forget too much
That every creature, female as the male,
Stands single in responsible act and thought
As also in birth and death. Whoever says
To a loyal woman, 'Love and work with me,'
Will get fair answers, if the work and love
Being good themselves, are good for her–the best
She was born for. Women of a softer mood,
Surprised by men when scarcely awake to life,
Will sometimes only hear the first word, love,
And catch up with it any kind of work,
Indifferent, so that dear love go with it:
I do not blame such women, though, for love,
They pick much oakum; earth's fanatics make
Too frequently heaven's saints. But me, your work
Is not the best for,–nor your love the best,
Nor able to commend the kind of work
For love's sake merely. Ah, you force me, sir,
To be over-bold in speaking of myself,–
I, too, have my vocation,–work to do,
The heavens and earth have set me, since I changed
My father's face for theirs,–and though your world
Were twice as wretched as you represent
Most serious work, most necessary work,
As any of the economists'. Reform,
Make trade a Christian possibility,
And individual right no general wrong;
Wipe out earth's furrows of the Thine and Mine,
And leave one green, for men to play at bowls;
With innings for them all! ... what then, indeed,
If mortals were not greater by the head
Than any of their prosperities? what then,
Unless the artist keep up open roads
Betwixt the seen and unseen,–bursting through
The best of your conventions with his best
The unspeakable, imaginable best
God bids him speak, to prove what lies beyond
Both speech and imagination? A starved man
Exceeds a fat beast: we'll not barter, sir,
The beautiful for barley.–And, even so,
I hold you will not compass your poor ends
Of barley-feeding and material ease,
Without a poet's individualism
To work your universal. It takes a soul,
To move a body: it takes a high-souled man,
To move the masses ... even to a cleaner stye:
It takes the ideal, to blow a hair's breadth off
The dust of the actual.–ah, your Fouriers failed,
Because not poets enough to understand
That life develops from within.–For me,
Perhaps I am not worthy, as you say,
Of work like this! ... perhaps a woman's soul
Aspires, and not creates! yet we aspire,
And yet I'll try out your perhapses, sir;
And if I fail ... why, burn me up my straw
Like other false works–I'll not ask for grace,
Your scorn is better, cousin Romney. I
Who love my art, would never wish it lower
To suit my stature. I may love my art,
You'll grant that even a woman may love art,
Seeing that to waste true love on anything,
Is womanly, past question.'",Elizabeth Barrett Browning,"Relationships,Men & Women,Social Commentaries,Gender & Sexuality",1806,1861.0,1
62,"from Aurora Leigh, Third Book","Why what a pettish, petty thing I grow,–
A mere, mere woman,–a mere flaccid nerve,-
A kerchief left out all night in the rain,
Turned soft so,–overtasked and overstrained
And overlived in this close London life!
And yet I should be stronger.
                          Never burn
Your letters, poor Aurora! for they stare
With red seals from the table, saying each,
'Here's something that you know not.'",Elizabeth Barrett Browning,"Relationships,Men & Women,Social Commentaries,Gender & Sexuality",1806,1861.0,1
69,Wind in a Box,"—after Lorca



I want to always sleep beneath a bright red blanket
of leaves. I want to never wear a coat of ice.
I want to learn to walk without blinking.
 
I want to outlive the turtle and the turtle’s father,
the stone. I want a mouth full of permissions
 
and a pink glistening bud. If the wildflower and ant hill
can return after sleeping each season, I want to walk
out of this house wearing nothing but wind.
 
I want to greet you, I want to wait for the bus with you
weighing less than a chill. I want to fight off the bolts
 
of gray lighting the alcoves and winding paths
of your hair. I want to fight off the damp nudgings
of snow. I want to fight off the wind.
 
I want to be the wind and I want to fight off the wind
with its sagging banner of isolation, its swinging
 
screen doors, its gilded boxes, and neatly folded pamphlets
of noise. I want to fight off the dull straight lines
of two by fours and endings, your disapprovals,
 
your doubts and regulations, your carbon copies.
If the locust can abandon its suit,
 
I want a brand new name. I want the pepper’s fury
and the salt’s tenderness. I want the virtue
of the evening rain, but not its gossip.
 
I want the moon’s intuition, but not its questions.
I want the malice of nothing on earth. I want to enter
 
every room in a strange electrified city
and find you there. I want your lips around the bell of flesh
 
at the bottom of my ear. I want to be the mirror,    
but not the nightstand. I do not want to be the light switch.
I do not want to be the yellow photograph
 
or book of poems. When I leave this body, Woman,
I want to be pure flame. I want to be your song.",Terrance Hayes,"Love,Desire,Religion,The Spiritual",1971,2025.0,44
70,The Blue Terrance,"If you subtract the minor losses,
you can return to your childhood too:
the blackboard chalked with crosses,
 
the math teacher’s toe ring. You
can be the black boy not even the buck-
toothed girls took a liking to:
 
this match box, these bones in their funk
machine, this thumb worn smooth
as the belly of a shovel. Thump. Thump.
 
Thump. Everything I hold takes root.
I remember what the world was like before
I heard the tide humping the shore smooth,
 
and the lyrics asking: How long has your door been closed? I remember a garter belt wrung
like a snake around a thigh in the shadows
 
of a wedding gown before it was flung
out into the bluest part of the night.
Suppose you were nothing but a song
 
in a busted speaker? Suppose you had to wipe
sweat from the brow of a righteous woman,
but all you owned was a dirty rag? That’s why
 
the blues will never go out of fashion:
their half rotten aroma, their bloodshot octaves of
consequence; that’s why when they call, Boy, you’re in
trouble. Especially if you love as I love
falling to the earth. Especially if you’re a little bit
high strung and a little bit gutted balloon. I love
 
watching the sky regret nothing but its
self, though only my lover knows it to be so,
and only after watching me sit
 
and stare off past Heaven. I love the word No 
for its prudence, but I love the romantic
who submits finally to sex in a burning row-
 
house more. That’s why nothing’s more romantic
than working your teeth through
the muscle. Nothing’s more romantic
 
than the way good love can take leave of you.
That’s why I’m so doggone lonesome, Baby,
yes, I’m lonesome and I’m blue.",Terrance Hayes,"Living,Coming of Age,Disappointment & Failure",1971,2025.0,44
71,For Robert Hayden,"Did your father come home after fighting
through the week at work? Did the sweat change
to salt in his ears? Was that bitter white
 
grain the only music he’d hear? Is this why
you were quiet when other poets sang
of the black man’s beauty? Is this why
 
you choked on the tonsil of Negro Duty?
Were there as many offices for pain
as love? Should a black man never be shy?
 
Was your father a mountain twenty
shovels couldn’t bury? Was he a train
leaving a lone column of smoke? Was he
 
a black magnolia singing at your feet?
Was he a blackjack smashed against your throat?",Terrance Hayes,"Relationships,Family & Ancestors,Social Commentaries,Class,Race & Ethnicity",1971,2025.0,44
84,Laundress,"Given over to love,
she un-balls the socks,
 
lets fall debris of days,
leaf litter, sand grain,
 
slub of some sticky substance,
picks it all for the sake
 
of the stainless tub
of the gleaming new front loader.
 
Given over to love long ago, when her own
exasperated moan bounced off
 
the quaint speckled enamel
of the top loader
 
vowing: she'd do this always and well.
She fell in love then, she fell in line—
 
in a march of millions, you pair them,
two by two, you marry the socks.",Heid E. Erdrich,,1963,2025.0,40
132,[A blue anchor grains of grit in a tall sky sewing],"A blue anchor grains of grit in a tall sky sewing
I inch and only sometimes as far as the twisted pole gone in spare colors
Too late the last express passes through the dust of gardens",John Ashbery,,1927,2017.0,17
114,A Litany for Survival,"For those of us who live at the shoreline
standing upon the constant edges of decision
crucial and alone
for those of us who cannot indulge
the passing dreams of choice
who love in doorways coming and going
in the hours between dawns
looking inward and outward
at once before and after
seeking a now that can breed
futures
like bread in our children’s mouths
so their dreams will not reflect
the death of ours;
 
For those of us
who were imprinted with fear
like a faint line in the center of our foreheads
learning to be afraid with our mother’s milk
for by this weapon
this illusion of some safety to be found
the heavy-footed hoped to silence us
For all of us
this instant and this triumph
We were never meant to survive.
 
And when the sun rises we are afraid
it might not remain
when the sun sets we are afraid
it might not rise in the morning
when our stomachs are full we are afraid
of indigestion
when our stomachs are empty we are afraid
we may never eat again
when we are loved we are afraid
love will vanish
when we are alone we are afraid
love will never return
and when we speak we are afraid
our words will not be heard
nor welcomed
but when we are silent
we are still afraid
 
So it is better to speak
remembering
we were never meant to survive.",Audre Lorde,"Living,Life Choices",1934,1992.0,24
168,Post Office,"The wall of identical boxes into which
our Aunt Sticky sorted the daily mail
was at the far end of her dining room,
and from the private side looked like
a fancy wallpaper upon which peonies
pushed through a white wooden trellis,
or sometimes like crates of chickens
stacked all the way to the ceiling.
I'd learned by then – I was a little boy –
that a thing can look like one thing
on one day and another on another,
depending on how you might be feeling.
There were times when we were there,
having our coffee and sweet rolls,
when some woman on the lobby side
would with a click unlock her box
and leaning down, peer inside to see
if she had mail, and see us at the table,
Mother and Father, my sister and I
and our postmistress aunt, and call out,
""Yoohoo, Sticky! I see you have company!""
and waggle her fingers, waving hello.",Ted Kooser,,1939,2025.0,30
